articles,pred,confint
papa wouldn t mindafter being tucked in bed little madge begged her mother to stay with her until she got to sleep for she pleaded it is all dark and madge is so fwaid but there is nothing to be afraid of her mother assured her mama must go right downstairs for papa is there alone waiting for her now try to go to sleep and remember that the angels are right here with you and will take care of you oh but mama wailed the little voice rather have you please mama send the angels down with papa and you stay with madge delineatorcentral trust company of california corner market and sansome streets branches 3039 16th street 624 van ness ave capital $1 000 000 surplus $500 000 accounts of individuals firms corporations and societies solicited interest paid on savings accounts at the rate of 4 per annum drafts and letters of credit issued payable in all parts of the world chas f leege frederick tognassi president chas c moore manager gavin mcnab vice presidents i oresn amp mic at tti gt t viv it hptxnxi f mm i fn iin gt aam t wriif n ii hj to make selections of christmas gifts our stores give the best of opportunities as we have the largest and best stock in diamonds watches jewelry clocks cut glass silverware and optical goods a small deposit will secure any article now send for catalogue sorenson co inc 715 market st near call bldg 2593 mission st near 22nd st all watch repairing guaranteed 2 years,0,0.7726427513634957
boom the label d mcmahon s dabovich first class bar the rialto fifth and market sts phone kearny 2738 phone market 1949 the terrapin 52 seventh st opp first class restaurant and bar issued weekly by the publishing company incorporated january 16 1900 owned and controlled by the labor unions of san francisco attorney cleveland l dam editor tveitmoe business manager cress gannon4,0,0.6642839619636394
heat and frost asbestos union local 16 story secret y treasurerspecial reminder voting will take place at the apprenticeship school 1032 50th avenue in oakland for election to the following offices 1 president 2 vice president 3 financial secretary treasur er correspondence secretary 4 business agent and dispatcher 5 executive board 6 union trustees 7 sergeant at arms a letter will be sent out to the members prior to the election along with a map giving directions to the apprenticeship school regular meeting notice please note that there will be a regular union meeting december 12th fines fines for work report cards and non attendance of meetings will be going out immediately they were postponed until this late date due to the excessively high rate of unemployment our members have suffered this past year it is hoped that with the issuance of the vacation checks december ist our members will be better prepared to meet their obligation to pay fines pension i will be attending pension meetings in san diego next week and also the national foundation of health welfare and pension fund s annual education conference there are several things of importance on the agenda 1 we hope to be able to increase benefits for the retirees 2 now anyone according to our plan in order to have vested rights has to be age 50 with 15 years service or have 20 years service regardless of age in order to vest we hope to bring this down as low as 5 years if possible 3 we will be discussing early retirement 25 years of service and out 30 years of service and outwe still have not cleared up completely the problem with the employers in the arizona area but i am happy to report that they have signed a contract and are now paying the full amount to the pension and there is only one year in question they plan to take this matter into the courts what i mean by one year is one year of contributions at the rate of 20 cents due to the fact that we have the 20c to work with i think it is very feasible that we can increase benefits we will also be discussing ways and means to give a man credit for a pension year while working outside the western state conference and working in an area that has a pension program work load our work load is real bad at the present time we have 88 men on the out of work list and really there is no let up in sight thirty men are out on traveler we do not have at the present time any openings anywhere in the country but as soon as i hear of any area that is hiring men i will certainly notify our people in sympathy we regret to inform our members of the passing away of brother harry mcnally brother harry mcnally had just recently retired and had been a member of our local since june 1954 something to contemplate philippians 4 6 be careful for nothing but in everything by prayer and supplication with thanksgiving let your requests be made known unto god in trajedy s wake tough new mine safety laws have been called for by the annual idaho afl cio convention in the wake of the recent sunshine mine disaster at kellogg idaho delegates stood in silent tribute to the 91 miners killed in the tragedy ,0,0.8369231110701015
cossackism takes new forma state constabulary bill in the ohio legislature proposes that the cossacks shall not interfere in industrial disputes this clause means nothing it can be evaded by later declaring that any strike is an attack on government hostile employers and their political agents can evade this law by planting among strikers a few private detectives who will pose as revolutionists if any worker protests when the cossacks appear he can be silenced by threats of being classed as an agent of moscow cossacks are controlled by the state the people s direct power over police in various communities is taken from them this is the vicious principle behind all cossack proposals no trading or compromise can disguise this attempt to take control of the police from the people and place it in the hands of officials who can only be reached by round about methods ,0,0.6853410991861157
communists get aid from coal magnateswashington the contract breaking pittsburgh coal company has given financial aid to communists louis mcgrew editocof the pittsburgh labor world told the senate committee that is probing the coal strike the witness cited the save the union committee and the pennsylvania ohio miners relief committee as communist organizations don rose attorney for the pittsburgh coal company denied the statements and said mcgrew didn t believe them the labor editor was not awed by the attorney who was contemptuously referred to as a jury fixer listen here don retorted mcgrew you ve done rougher stuff than this not on trial snapped rose well i ll put you on trial replied mcgrew if 1 told all i know about you this ceiling would fall down and i ll come here in two weeks and do it you ve been a fixer ever since you became attorney for the pittsburgh coal company you can t deny that buttsy jones is your jury fixer mcgrew told the senators that a telephone call came to him erroneously to his office on march 10 last year asking for joe vitchenstain editor of the national labor tribune mcgrew quoted the caller as saying this is john brophy say joe the balance of that money is due today the witness said brophy and vitchenstain later met in the seventh avenue hotel in pittsburgh brophy is an active member of the save the union committee he together with the national labor tribune have been denounced by the united mine workers labor is the school of benevolence as well as justice william ellery channing ,0,0.7681829287207329
consumer group calls for rehearing on gift to pt amp tthe california farmer consumer information committee has filed a petition for rehearing before the public utilities commission of decision no 77984 which gives tlie pacific telephone company $1 billion in interest free working capital over the next ten yearsmrs borghild haugen director of consumer affairs for the cfcic and interested party in the $195 million amp t rate increase case petitioned the puc for a re hearing and stay of the order issued by a three to two vote of the five members of the commission dated november 24 and effective the same day puc chairman vukasin jr and members william symons and vernon sturgeon voted for the order opposing were thomas moran a governor reagan appointee and gatov the one remaining appointee of governor brown in his dissent commissioner moran said the majority decision is outrageous its interpretation of the law applicable would discredit a first year law student its summary of the alleged facts and the effect of this decision is no more than a collection of falsehoods the adoption of tlws decision is entirely contrary to the best interests of the people of california and may well generate a backlash which will ultimately prove it to be contrary also to the interests of the pacific telephone company which alone has urged the commission to adopt it moran went on to say the staff and other parties have not yet even completed their crossexamination on the issue of accelerated depreciation and have had no opportunity to put in their direct evidence on the subject commissioner gatov charged the decision by the commission as presently constituted deliberately ignored the public interest actually today s decision will discriminately favör pacific as compared to other california utilities the majority of all california utilities have taken advantage of the benefits of liberalized depreciation and flow such benefits through to their customers pacific and general telephone however have failed to do so and pacific has been found by us to be imprudent for such failure the cfcic stated we concur in the petition for rehearing and stay of interim order decision no 77984 city and county of san francisco and we concur in the dissents of commissioners thomas moran and gatov the decision means that t tit may take all federal income tax deductions available to it but retain the same for its own purposes garret shean of consumers arise now a member of cfcic board of directors also filed a petition for rehearing stating in part this order forecloses evidence which would serve as a basis for a proper adjustment by the commission to pacific s earnings occasioned by the willful refusal of pacific s management to comply with the expressed state policy found in california public utilities commisison decision no 74917 regarding the treatment of tax expense and the actions of the majority owner of pacific in attempting to frustrate the enforcement of a valid state regulatory practice this order therefore renders a decision without a full hearing and is a denial of due process of law ,0,0.7014691735869305
tale of a dogin a small eastern college town the following lost ad signed by a colored resident appeared on the village bulletin board recently lost or rund away all most black and w hite dog his tail cut off pretty dost to body any body find her keep it i belong to him,0,0.739922071178614
san francisco wage earners enjoy labor day celebrationthe labor day celebration last monday was one of the most enjoyable and successful labor day celebrations in the history of the local labor movement the labor day celebration this year was held at california park marin county where 20 000 local trade unionists and their families spent the day in having a good time with the exception of a brief but instructive and entertaining address by city attorney john toole there was no speechmaking everybody had the anticipated good time there were many expressions that this beats marching and standing around from the time the first train and ferry from san francisco reached california park about 10 in the morning until late in the evening there was something doing for the entertainment of everybody unusual interest attached to the athletic program the events conducted under the auspices of the pacific association of the amateur athletic union developed keen rivalry as the champions of various locals and crafts vied for the many prizes more than 300 entered the games which were hotly contested old times revived there was plenty of fun too for old times were revived with the fat man s race the egg race for girls and others of similar caliber one of the events that attracted big crowds and caused much laughter was a nail driving contest for women a lot of good nails iron and finger were ruthlessly hammered the big celebration was staged by the 140 unions affiliated with the san francisco labor council and the fifty two local units of the building trades council state senator thomas a maloney chairman of the day presided at the brief formal program at which the message of william green president of the american federation of labor was read john connell and thomas doyle secretaries of the two councils aided senator maloney in keeping the program going at high speed harry milton and joseph tuite received the crowd with smiles and the glad hand dancing and games the grand ball owed much of its success to the chairman of the ball committee anthony brenner president of machinists union no 58 the games were directed by frank brown and larry miskel watched the gate where numbered tickets were distributed and a drawing for handsome prizes later held colonel david hardy of the teachers federation directed the athletic arrangements while katchinski supervised the judging under rules the women were not forgotten in the distribution of honors on the committees anna brown sarah s hagen ella wunderlich laura molleda and mabel sutton being active in looking after the comfort and entertainment of the women and children scores of contests the musical program one of the most important because of the all day dancing and the concerts at the games was in charge of harry lowensteinscores of special contests were held the boys and girls indulged in a candy eating contest and the final reports were that it was a tie with no doctor necessary the pie eating contest drew so many entries big and little that it had to be called off as there were not enough pies among the officials and others who attended as special guests were mayor rolph city attorney john toole supervisor andrew j gallagher supervisor william p buck stanton who is also president of the san francisco labor council and simply could not miss the fun eddie bryant who collects the taxes and yet is popular walter matthewson state labor commissioner and such old timers as james hopkins michael casey and michael doyle prominent in labor circles these many years frank c mcdonald george kidwell anthony noriega paul scharrenberg and many others whose names are famous in labor were also on hand across the bay oakland berkeley and other alameda county cities joined in the observance of labor day at the university of california in an address at the greek theater will j french former president of the san francisco labor council and now director of the state department of industrial relations reviewed the history of in california enumerating its many successful efforts in raising the standards for the working men and women of the state ,0,0.6689299518608314
buyers go on strike in chicagoexecutives of chain groceries in the city of chicago were bewailing the spoilage of vast over supplies of fresh vegetables and fruits because chicago housewives had banded together on strike against high prices of same ,0,0.8072883167662953
must kave cossacksrock island 111 we must have cossacks if democracy is to survive was the essence of oratory unloosened at a meeting in this city by a party who is financed by illinois manufacturers the employers believe cossacks will keep labor in its place but this reason is too frank to secure results m amp the trademark that guaranteea your holiday suit or overcoat at reduced prices $55 $6o $65 others specijuly priced from $7o to $b5 leave your order today don t wait until the last moment overcoats ready to wear our own make $45 and upwards kelleher 0 4 vd browne the irish tailors 716 market st at third and kearnythe berger manufacturing co sheet metal products 1120 26 mission street san francisco phone market 2728 å i jqmd amp ats for men every time you buy a lundström you put money in your own pocket made in california by union men 1126 market 26 third 2640 mission 60s kearny rolkin bharp proprietor ben risher manager hotel atlanta rates 75c per day and up $3 00 a week and up telephone market 426 private exchange connecting all roome seventh at mission street opposite postoffice san francisco for twenty yeara we have leeued thle union stamp for uae under our voluntary arbitration contract workers union amp factory s our stamp insures peaceful fcollectlve bargaining pwblds both strikes and lockouta disputes settled by arbitration steady employment and skilled workmanprompt deliveries to dealers and pnmlc peace and success to workers and bnployers prosperity of shoe making communities as loyal union men and women wa aak you to demand shoes bearing the shape union stamp on sole insole or lining boot amp shoe workers union 246 summer street boston mass collls lovely oonoral president charles l balne general sec y treaa we close at six o clock every day including saturday summerfield amp haines the home of union made clothing and furnishing goook 997 market street comer sixth st every thursday is bargain day on mission street bet 16th and amy for sole strips on windows of those stores which are giving special reductions mu i ask for mission street merchants coupons,0,0.7849522989171392
